adjustedmillionusd,originalmillionusd,name,artist,year,date_of_sale,rankat_sale,seller,buyer,auction_house,sale_year
591.5,450.3,Salvator Mundi,Leonardo da Vinci (attribution disputed),1500,"November 15, 2017",1.0,Dmitry Rybolovlev,Badr bin Abdullah Al Saud [ note 2 ],"Christie's , New York [ 21 ]",2017
407.0,300.0,Interchange,Willem de Kooning,1955,September 2015,1.0,David Geffen Foundation,Kenneth C. Griffin,Private sale [ 22 ],2015
358.0,,The Card Players,Paul Cézanne,1892,April 2011,1.0,George Embiricos,State of Qatar,Private sale [ 23 ] [ 24 ] [ 25 ],2011
285.0,,Nafea Faa Ipoipo (When Will You Marry?),Paul Gauguin,1892,September 2014,2.0,Rudolf Staechelin heirs,State of Qatar,Private sale [ 27 ],2014
272.0,200.0,Number 17A,Jackson Pollock,1948,September 2015,4.0,David Geffen Foundation,Kenneth C. Griffin,Private sale [ 22 ],2015
254.0,183.8,Wasserschlangen II,Gustav Klimt,1904,2013,2.0,Yves Bouvier,Dmitry Rybolovlev,Private sale [ note 4 ],2013
253.0,186.0,"No. 6 (Violet, Green and Red)",Mark Rothko,1951,August 2014,3.0,Cherise Moueix,Dmitry Rybolovlev,Private sale via Yves Bouvier [ 30 ],2014
244.0,180.0,Pendant portraits of Maerten Soolmans and Oopjen Coppit,Rembrandt,1634,"February 1, 2016 [ 31 ]",7.0,Éric de Rothschild,Rijksmuseum and Louvre,Private sale [ 32 ],2016
243.6,179.4,"Les Femmes d'Alger (""Version O"")",Pablo Picasso,1955,"May 11, 2015",5.0,Private collection,Hamad bin Jassim bin Jaber Al Thani [ citation needed ],"Christie's, New York [ 33 ]",2015
242.5,236.3,Portrait of Elisabeth Lederer,Gustav Klimt,1914,"November 18, 2025",10.0,Estate of Leonard Lauder,,"Sotheby's, New York",2025
235.3,198.0,The Standard Bearer,Rembrandt,1636,February 2022,10.0,Rothschild family,Rijksmuseum,Private sale [ 34 ] [ 35 ],2022
231.5,170.4,Nu couché,Amedeo Modigliani,1917,"November 9, 2015",9.0,Laura Mattioli Rossi,Liu Yiqian [ 36 ],"Christie's, New York [ 37 ]",2015
223.6,140.0,"No. 5, 1948",Jackson Pollock,1948,"November 2, 2006",1.0,David Geffen,David Martinez,Private sale via Sotheby's [ 38 ],2006
219.6,137.5,Woman III,Willem de Kooning,1953,"November 18, 2006",2.0,David Geffen,Steven A. Cohen,Private sale via Larry Gagosian [ 39 ],2006
216.7,165.0,Masterpiece,Roy Lichtenstein,1962,January 2017,12.0,Agnes Gund [ 40 ] [ 41 ],Steven A. Cohen [ 42 ],Private sale,2017
215.6,135.0,Portrait of Adele Bloch-Bauer I,Gustav Klimt,1907,"June 18, 2006",1.0,Maria Altmann,"Ronald Lauder , Neue Galerie",Private sale via Christie's [ 43 ],2006
214.5,195.0,Shot Sage Blue Marilyn,Andy Warhol,1964,"May 9, 2022",11.0,Thomas and Doris Ammann,Larry Gagosian,"Christie's, New York [ 44 ]",2022
214.2,155.0,Le Rêve,Pablo Picasso,1932,"March 26, 2013",6.0,Steve Wynn,Steven A. Cohen,Private sale [ 45 ],2013
203.3,82.5,Portrait of Dr. Gachet,Vincent van Gogh,1890,"May 15, 1990",1.0,Siegfried Kramarsky heirs,Ryoei Saito [ note 5 ] [ 48 ],"Christie's, New York",1990
201.6,157.2,Nu couché (sur le côté gauche),Amedeo Modigliani,1917,"May 15, 2018",,Ezra and David Nahmad,,"Sotheby's, New York [ 49 ]",2018
201.2,150.0,Portrait of Adele Bloch-Bauer II,Gustav Klimt,1912,2016,10.0,Oprah Winfrey [ note 6 ],Unidentified buyer in China,Private sale via Larry Gagosian [ 50 ],2016
196.8,142.4,Three Studies of Lucian Freud,Francis Bacon,1969,"November 12, 2013",8.0,[ note 7 ],"Elaine Wynn, ex-wife of Steve Wynn [ 53 ]","Christie's, New York [ 54 ]",2013
192.5,78.1,Bal du moulin de la Galette [ note 8 ],Pierre-Auguste Renoir,1876,"May 17, 1990",2.0,Betsey Whitney,Ryoei Saito [ note 9 ],"Sotheby's, New York",1990
184.9,140.8,Twelve Landscape Screens,Qi Baishi,1925,"December 17, 2017",,,,Beijing Poly Auction [ 55 ],2017
177.6,104.2,Garçon à la pipe,Pablo Picasso,1905,"May 5, 2004",3.0,Greentree Foundation (Whitney family),Guido Barilla (suspected) [ 56 ],"Sotheby's, New York [ 57 ]",2004
177.3,149.2,"Les Poseuses, Ensemble (Petite version)",Georges Seurat,1888,"November 9, 2022",1.0,Paul G. Allen,,"Christie's, New York",2022
168.2,119.9,The Scream [ note 10 ],Edvard Munch,1895,"May 2, 2012",8.0,Petter Olsen,Leon Black [ 58 ],"Sotheby's, New York",2012
165.9,120.0,Otahi,Paul Gauguin,1893,2013,10.0,Yves Bouvier,Dmitry Rybolovlev,Private sale [ note 11 ],2013
165.0,118.0,Reclining Nude With Blue Cushion,Amedeo Modigliani,1916,2012,8.0,Steven A. Cohen,Dmitry Rybolovlev,Private sale via Yves Bouvier [ 30 ],2012
164.0,137.7,La Montagne Sainte-Victoire,Paul Cezanne,1888,"November 9, 2022",2.0,Paul G. Allen,,"Christie's, New York",2022
162.4,110.0,Flag [ note 12 ],Jasper Johns,1958,March 2010,7.0,Jean-Christophe Castelli,Steven A. Cohen,"Private sale, estimated price [ 60 ]",2010
157.2,106.5,"Nude, Green Leaves and Bust",Pablo Picasso,1932,"May 4, 2010",9.0,Frances Lasker Brody estate,Leonard Blavatnik (suspected) [ 61 ] [ 62 ],"Christie's, New York [ 63 ]",2010
155.8,,Portrait of Joseph Roulin,Vincent van Gogh,1889,"August 1, 1989",1.0,"Private collection, Zürich",Museum of Modern Art New York,"Private sale via Thomas Ammann , Fine Art Zurich [ 64 ]",1989
153.9,107.5,L’Homme assis au verre,Pablo Picasso,1914,May 2011,,Yves Bouvier [ note 14 ],Dmitry Rybolovlev,Private sale via Yves Bouvier [ 65 ] [ 66 ],2011
152.7,53.9,Irises,Vincent van Gogh,1889,"November 11, 1987",1.0,"John Whitney Payson, son of Joan Whitney Payson",Alan Bond [ note 15 ],"Sotheby's, New York",1987
152.1,95.2,Dora Maar au Chat,Pablo Picasso,1941,"May 3, 2006",6.0,Gidwitz family,Boris Ivanishvili [ 67 ],"Sotheby's, New York [ 68 ]",2006
149.5,100.0,Eight Elvises,Andy Warhol,1963,October 2008,10.0,Annibale Berlingieri,The State of Qatar (suspected) [ 69 ] [ 70 ],Private sale via Philippe Ségalot [ 71 ],2008
